loan_id,client_id,issue_date,age,gender,monthly_income,employment_type,work_experience_years,region,channel,loan_product,loan_amount,loan_term_months,interest_rate,monthly_payment,credit_score,existing_loans_count,dti_ratio,days_past_due,is_default,quarter,age_grp,high_dti,low_score,z_credit_score,z_dti_ratio,z_monthly_income,z_loan_amount,z_interest_rate,z_age,PD_hat,risk_segment,LGD,EL_loan,income_loan
11,17023,2024-05-05,32,M,85697.0,self_employed,5.4,Ural,branch,consumer,270000,48,19.5,8144.0,570.0,1,62.9,11,0,2024Q2,26-35,0,1,-0.8033075817699471,0.4515434583042702,0.19398129975336667,-0.5347732616317944,0.8153171777493707,-0.3703037653027697,0.2988877516883108,MEDIUM,0.7,35484.40158820192,120912.0
12,42090,2024-03-06,45,F,85139.0,employed,22.5,Siberia,online,consumer,210000,60,17.7,5298.0,711.0,5,43.7,0,0,2024Q1,36-45,0,0,1.072825564981644,-0.8879939119410819,0.17607022860881338,-0.772653311451739,-0.013276377476009934,0.6958620928260458,0.02009071215817598,LOW,0.7,6555.476275419193,107880.0
13,68221,2023-08-27,27,M,106436.0,freelance,7.6,Moscow,branch,car,960000,60,16.2,23447.0,646.0,2,80.8,2,0,2023Q3,26-35,1,0,0.20794149023800276,1.7003829857725934,0.8596761106259304,2.2008473112975686,-0.7037710068304935,-0.7803675568907756,0.3354886642731863,HIGH,0.45,225721.51898734178,446820.0
14,65820,2023-10-31,31,M,87945.0,employed,8.6,Moscow,online,renovation,580000,48,18.1,17068.0,641.0,0,61.5,7,0,2023Q4,26-35,0,0,0.14141194602695345,0.35386885839054666,0.2661391634324989,0.6942736624379194,0.17085552368518667,-0.4523165236203709,0.1327119583058158,MEDIUM,0.7,76225.75155984117,239264.0
15,1769,2023-10-25,34,M,113117.0,self_employed,13.3,Moscow,branch,renovation,530000,12,18.7,48767.0,626.0,2,82.1,25,0,2023Q4,26-35,1,0,-0.05817668660619457,1.7910808285496223,1.0741274839534583,0.4960402875879656,0.4470533754269791,-0.2062782486675673,0.42481257313846643,HIGH,0.7,193848.8045007032,55204.0
16,60735,2023-03-17,47,F,85473.0,self_employed,25.5,Moscow,branch,consumer,420000,12,20.0,38906.0,576.0,1,52.7,0,0,2023Q1,46-55,0,1,-0.723472128716688,-0.260085769638573,0.1867911923404994,0.05992686291806714,1.0454820542008652,0.8598876094612482,0.18065334799997262,MEDIUM,0.7,55197.95802609188,46872.0
17,63955,2024-11-30,23,F,23637.0,unemployed,0.6,Ural,branch,consumer,80000,12,22.3,7499.0,433.0,2,60.6,8,0,2024Q4,18-25,0,1,-2.626217093152699,0.29107804416029587,-1.798063637936556,-1.2880600860616191,2.10424048587774,-1.1084185901611805,0.8001941561569966,HIGH,0.7,29260.196905766526,9988.0
18,65925,2023-11-29,26,M,88321.0,self_employed,7.3,Siberia,branch,renovation,790000,48,19.1,23663.0,570.0,0,82.9,0,0,2023Q4,26-35,1,1,-0.8033075817699471,1.8468948856431795,0.2782082723040975,1.5268538368077256,0.6311852765881757,-0.8623803152083768,0.602289025767612,HIGH,0.7,288944.44444444444,345824.0
19,68969,2024-10-03,27,F,61684.0,freelance,8.1,Moscow,online,education,170000,48,16.6,4870.0,557.0,1,43.3,2,0,2024Q4,26-35,0,1,-0.9762843967186754,-0.9159009404878605,-0.576804634644766,-0.9312400113317021,-0.5196391056692969,-0.7803675568907756,0.14388946065322517,MEDIUM,0.7,22342.03062960862,63760.0
20,6311,2024-04-18,50,M,36831.0,unemployed,0.2,Moscow,online,consumer,90000,12,20.5,8359.0,579.0,1,63.1,9,0,2024Q2,46-55,0,1,-0.6835544021900584,0.46549697257765943,-1.374553471841151,-1.2484134110916283,1.2756469306523597,1.1059258844140518,0.4275055597037148,HIGH,0.7,32917.721518987346,10308.0
21,84104,2023-10-10,45,M,103656.0,self_employed,25.1,Moscow,branch,consumer,320000,12,19.3,29536.0,642.0,2,43.9,15,0,2023Q4,36-45,0,0,0.1547178548691633,-0.8740403976676931,0.7704417418412384,-0.33653988678184055,0.7232512271687732,0.6958620928260458,0.053801057667626107,LOW,0.7,9989.297181591151,34432.0
22,54707,2024-08-13,23,M,90163.0,employed,3.4,Moscow,partner,car,850000,60,13.5,19558.0,754.0,3,70.4,0,0,2024Q3,18-25,1,0,1.6449796451966685,0.9748002435563614,0.3373340662974078,1.7647338866276703,-1.9466613396685637,-1.1084185901611805,0.05126253751925253,LOW,0.45,17057.616839100963,323480.0
23,86305,2023-03-13,50,M,45165.0,freelance,32.0,South,branch,consumer,160000,36,20.0,5946.0,601.0,3,42.3,21,0,2023Q1,46-55,0,0,-0.3908244076614413,-0.9856685118548059,-1.1070429576499197,-0.9708866863016928,1.0454820542008652,1.1059258844140518,0.08154929078343812,LOW,0.7,4994.648590795576,54056.0
24,29693,2023-09-20,30,M,113155.0,self_employed,6.2,Moscow,branch,car,930000,48,16.3,26500.0,587.0,1,80.4,44,0,2023Q3,26-35,1,0,-0.5771071314523794,1.6724759572258159,1.075347234318141,2.081907286387596,-0.657738031540194,-0.534329281937972,0.4860225661504292,HIGH,0.45,218667.72151898735,342000.0
25,72932,2024-12-03,38,M,71303.0,employed,16.6,SPb,branch,consumer,150000,24,16.9,7409.0,737.0,2,33.0,46,0,2024Q4,36-45,0,0,1.4187791948791006,-1.6345069255673983,-0.2680472989109702,-1.0105333612716836,-0.3815401797984015,0.12177278460283747,0.007240539965942432,LOW,0.7,4682.483053870853,27816.0
26,94016,2024-07-28,46,M,105742.0,self_employed,26.2,Moscow,online,car,1120000,36,15.5,39100.0,655.0,2,83.5,134,1,2024Q3,46-55,1,0,0.3276946698178916,1.8887554284633463,0.8373996171235648,2.835194110817421,-1.0260018338625856,0.777874851143647,0.3265490931797869,HIGH,0.45,263341.77215189877,0.0
27,26658,2023-01-12,19,M,44659.0,freelance,0.0,Moscow,online,car,510000,48,16.6,14611.0,589.0,3,67.4,21,0,2023Q1,18-25,1,0,-0.5504953137679597,0.7654975294555252,-1.123284896716486,0.4167469376479841,-0.5196391056692969,-1.4364696234315852,0.2992163508029404,MEDIUM,0.45,43088.20192853091,191328.0
28,85478,2023-05-21,64,M,29216.0,unemployed,1.4,Moscow,partner,consumer,150000,36,22.4,5760.0,491.0,3,62.0,21,0,2023Q2,56+,0,1,-1.8544743803045267,0.3887526440740194,-1.6189850251848306,-1.0105333612716836,2.1502734611680383,2.2541045008604685,0.6920883028536748,HIGH,0.7,54862.86919831223,57360.0
29,19431,2024-07-08,33,M,23388.0,unemployed,0.3,Moscow,branch,renovation,180000,48,20.2,5497.0,483.0,1,57.5,149,1,2024Q3,26-35,0,1,-1.9609216510422056,0.07479857292276491,-1.8060562126946094,-0.8915933363617113,1.1375480047814628,-0.28829100698516846,0.62555160002268,HIGH,0.7,65835.44303797469,0.0
30,3747,2023-01-17,28,F,71312.0,employed,7.1,Moscow,online,consumer,250000,24,16.4,12289.0,783.0,2,26.3,0,0,2023Q1,26-35,0,0,2.030851001620755,-2.101949653725933,-0.2677584106667032,-0.614066611571776,-0.611705056249896,-0.6983547985731744,0.0027082956914884,LOW,0.7,7804.138423118087,44936.0
31,60150,2023-03-04,43,M,96601.0,employed,19.9,Siberia,partner,consumer,400000,48,19.6,12087.0,615.0,3,54.7,16,0,2023Q1,36-45,0,0,-0.20454168387050312,-0.12055062690468211,0.5439854570297269,-0.0193664870219144,0.8613501530396702,0.5318365761908435,0.1262066171862173,MEDIUM,0.7,52569.48383437322,180176.0
32,66725,2023-09-10,27,F,92537.0,employed,8.4,SPb,partner,car,1100000,60,16.0,26750.0,639.0,5,84.8,162,1,2023Q3,26-35,1,0,0.11480012834253371,1.9794532712403752,0.4135363653962779,2.7559007608774393,-0.795836957411091,-0.7803675568907756,0.3791519140005316,HIGH,0.45,258639.24050632917,0.0
33,85654,2024-04-09,44,F,146410.0,employed,13.0,Ural,branch,education,320000,48,14.6,8841.0,657.0,2,42.7,10,0,2024Q2,36-45,0,0,0.3543064875023113,-0.9577614833080274,2.1427892968846636,-0.33653988678184055,-1.4402986114752758,0.6138493345084446,0.03894611454545472,LOW,0.7,9989.297181591151,104368.0
34,36773,2024-01-11,24,M,46888.0,freelance,5.1,SPb,partner,education,160000,24,17.6,7957.0,563.0,0,58.5,0,0,2024Q1,18-25,0,1,-0.8964489436654162,0.14456614428971035,-1.051736908219695,-0.9708866863016928,-0.05930935276630786,-1.0264058318435791,0.3002825029195818,HIGH,0.7,58520.39381153305,30968.0
35,68435,2024-06-03,24,M,67104.0,employed,5.0,Moscow,online,consumer,200000,24,17.1,9898.0,715.0,3,41.0,1,0,2024Q2,18-25,0,0,1.1260492003504836,-1.0763663546318347,-0.40282971420842406,-0.8122999864217298,-0.28947422921780236,-1.0264058318435791,0.015394588224246374,LOW,0.7,6243.31073849447,37552.0
36,57886,2023-03-31,44,M,73751.0,self_employed,15.9,Moscow,branch,consumer,210000,60,18.4,5378.0,710.0,1,51.6,114,1,2023Q1,36-45,0,0,1.0595196561394342,-0.33683009814221304,-0.18946969647034934,-0.772653311451739,0.3089544495560821,0.6138493345084446,0.03652074539047046,LOW,0.7,6555.476275419193,0.0
37,67803,2024-12-20,32,F,84111.0,self_employed,9.5,Moscow,branch,car,680000,48,13.6,18446.0,686.0,1,60.9,2,0,2024Q4,26-35,0,0,0.7401778439263975,0.3120083155703793,0.14307277137476182,1.0907404121378272,-1.9006283643782649,-0.3703037653027697,0.06656666350466223,LOW,0.45,13646.093471280772,205408.0
38,32551,2024-09-21,21,M,53704.0,freelance,2.8,Moscow,online,car,630000,36,16.0,22149.0,593.0,1,74.1,165,1,2024Q3,18-25,1,0,-0.4972716783991202,1.2329402576140587,-0.8329522112281624,0.8925070372878733,-0.795836957411091,-1.2724441067963828,0.37132135805657246,HIGH,0.45,148129.74683544305,0.0
39,12394,2023-06-24,67,M,98343.0,employed,44.4,South,online,education,240000,24,14.4,11568.0,736.0,3,48.8,4,0,2023Q2,56+,0,0,1.4054732860368908,-0.5321792979696606,0.5999013816422929,-0.6537132865417667,-1.5323645620558732,2.500142775813272,0.022020272924571205,LOW,0.7,7491.972886193364,37632.0
40,70092,2023-03-17,31,M,49151.0,employed,12.4,Moscow,branch,car,530000,48,13.7,14403.0,702.0,3,59.7,33,0,2023Q1,26-35,0,0,0.9530723854017553,0.22828722993004508,-0.9790975641334512,0.4960402875879656,-1.854595389087966,-0.4523165236203709,0.04829164482885392,LOW,0.45,10635.925793792367,161344.0
41,4890,2024-09-04,34,F,102294.0,employed,14.7,SPb,branch,renovation,640000,48,17.2,18534.0,640.0,2,59.4,127,1,2024Q3,26-35,0,0,0.12810603718474356,0.20735695851996114,0.7267233208755008,0.9321537122578641,-0.24344125392750446,-0.2062782486675673,0.11329042838395194,MEDIUM,0.7,84111.17413499716,0.0
42,42606,2024-10-24,31,M,84923.0,employed,11.8,Ural,branch,car,840000,36,13.9,28668.0,691.0,0,72.0,34,0,2024Q4,26-35,1,0,0.8067073881374468,1.0864283577434737,0.16913691074640566,1.7250872116576794,-1.7625294385073678,-0.4523165236203709,0.11327087152603368,MEDIUM,0.45,70968.80317640385,192048.0
43,97276,2024-02-04,21,F,18000.0,unemployed,0.4,Ural,partner,consumer,70000,12,22.6,6572.0,462.0,5,70.8,227,1,2024Q1,18-25,1,1,-2.240345736728613,1.002707272103139,-1.979003974929113,-1.3277067610316098,2.2423394117486373,-1.2724441067963828,0.8454195722840452,HIGH,0.7,25602.67229254571,0.0
44,81038,2023-03-12,44,M,76495.0,freelance,24.9,Ural,branch,education,210000,36,17.0,7487.0,636.0,2,56.4,0,0,2023Q1,36-45,0,0,0.07488240181590411,-0.0019457555808751667,-0.10139088066272531,-0.772653311451739,-0.33550720450810195,0.6138493345084446,0.13529005238638703,MEDIUM,0.7,27598.97901304594,59532.0
45,88313,2023-06-29,22,F,76506.0,employed,0.0,Moscow,online,consumer,250000,12,19.2,23063.0,643.0,3,42.7,6,0,2023Q2,18-25,0,0,0.16802376371137318,-0.9577614833080274,-0.10103779503084342,-0.614066611571776,0.6772182518784736,-1.1904313484787816,0.045474319800832705,LOW,0.7,7804.138423118087,26756.0
46,11627,2023-05-04,35,M,65891.0,freelance,16.1,Ural,partner,consumer,310000,24,22.1,16098.0,547.0,2,65.1,26,0,2023Q2,26-35,1,1,-1.1093434851407742,0.6050321153115499,-0.44176542979685257,-0.37618656175183135,2.012174535297143,-0.1242654903499661,0.44785129197883794,HIGH,0.7,113383.2630098453,76352.0
47,9792,2024-01-16,21,M,62942.0,employed,0.0,Siberia,partner,renovation,410000,36,17.8,14781.0,607.0,1,50.6,11,0,2024Q1,18-25,0,0,-0.31098895460818204,-0.4065976695091585,-0.5364244778350025,0.020280187948076372,0.03275659781428963,-1.2724441067963828,0.10048352665804823,MEDIUM,0.7,53883.72093023255,122116.0
48,74969,2023-10-20,20,F,75077.0,freelance,1.7,SPb,online,education,210000,48,16.9,6049.0,650.0,3,49.1,9,0,2023Q4,18-25,0,0,0.26116512560684224,-0.5112490265595766,-0.1469068284816797,-0.772653311451739,-0.3815401797984015,-1.3544568651139839,0.07750811027398999,LOW,0.7,6555.476275419193,80352.0
49,44001,2023-07-14,33,F,52799.0,employed,12.3,South,online,consumer,170000,36,20.0,6318.0,624.0,1,40.3,16,0,2023Q3,26-35,0,0,-0.08478850429061431,-1.1252036545886968,-0.8620015291238985,-0.9312400113317021,1.0454820542008652,-0.28829100698516846,0.0510892172995878,LOW,0.7,5306.814127720299,57448.0
50,77552,2023-08-16,35,M,58478.0,freelance,11.0,Ural,online,consumer,220000,24,20.1,11208.0,673.0,5,54.2,28,0,2023Q3,26-35,0,0,0.5672010289776692,-0.15543441258815482,-0.6797130469914288,-0.7330066364817482,1.0915150294911649,-0.1242654903499661,0.07514885701532825,LOW,0.7,6867.641812343917,48992.0
51,24897,2024-03-06,34,M,78481.0,employed,15.8,Ural,online,car,910000,60,15.5,21888.0,626.0,5,84.6,9,0,2024Q1,26-35,1,0,-0.05817668660619457,1.9654997569669859,-0.03764287476114318,2.0026139364476148,-1.0260018338625856,-0.2062782486675673,0.4008485906695727,HIGH,0.45,213965.18987341775,403280.0
52,69148,2024-03-11,27,F,99626.0,employed,6.0,SPb,branch,car,800000,12,14.2,71905.0,647.0,0,60.2,125,1,2024Q1,26-35,0,0,0.22124739908021265,0.2631710156135178,0.6410840057972425,1.5665005117777164,-1.6244305126364715,-0.7803675568907756,0.09615483554132763,LOW,0.45,16054.227613271496,0.0
53,24483,2024-04-05,25,F,67739.0,employed,4.9,South,online,renovation,440000,60,16.4,10794.0,659.0,0,45.0,0,0,2024Q2,18-25,0,0,0.38091830518673103,-0.797296069164053,-0.38244704364069765,0.13922021285804867,-0.611705056249896,-0.944393073525978,0.0373261693440342,LOW,0.7,13735.283624687834,207640.0
54,49555,2024-09-09,31,M,116658.0,employed,11.8,SPb,branch,renovation,660000,48,17.1,19078.0,647.0,0,63.4,0,0,2024Q3,26-35,0,0,0.22124739908021265,0.4864272439877429,1.1877889587256143,1.0114470621978455,-0.28947422921780236,-0.4523165236203709,0.13103376814275883,MEDIUM,0.7,86739.64832671582,255744.0
55,18159,2023-01-21,60,F,114131.0,self_employed,13.9,South,online,education,360000,60,16.2,8793.0,625.0,1,40.3,4,0,2023Q1,56+,0,0,-0.07148259544840443,-1.1252036545886968,1.1066755594742055,-0.17795318690187747,-0.7037710068304935,1.9260534675900636,0.056958566869472,LOW,0.7,11237.959329290046,167580.0
56,81077,2023-03-05,60,F,84264.0,employed,38.6,SPb,online,renovation,630000,36,16.6,22336.0,654.0,2,62.1,12,0,2023Q1,56+,0,0,0.3143887609756817,0.39572940121071404,0.1479838715273006,0.8925070372878733,-0.5196391056692969,1.9260534675900636,0.10792858385776471,MEDIUM,0.7,82796.93703913783,174096.0
57,36920,2023-06-14,49,M,120774.0,self_employed,29.9,South,online,consumer,380000,60,19.3,9920.0,724.0,1,45.4,8,0,2023Q2,46-55,0,0,1.2458023799303724,-0.769389040617275,1.3199071824370505,-0.09865983696189594,0.7232512271687732,1.0239131260964505,0.02368300978438225,LOW,0.7,11862.290403139492,215200.0
58,93067,2023-01-27,32,F,80501.0,self_employed,12.8,Ural,online,consumer,240000,24,19.8,12192.0,660.0,4,74.1,212,1,2023Q1,26-35,1,0,0.3942242140289409,1.2329402576140587,0.027196486729892003,-0.6537132865417667,0.9534161036202677,-0.3703037653027697,0.23341905650251202,MEDIUM,0.7,31541.690300623934,0.0
59,68121,2023-11-07,28,M,66189.0,self_employed,6.2,Siberia,partner,car,820000,48,16.8,23576.0,589.0,1,81.8,162,1,2023Q4,26-35,1,0,-0.5504953137679597,1.7701505571395388,-0.43220001904223454,1.645793861717698,-0.4275731550886994,-0.6983547985731744,0.5047022060080099,HIGH,0.45,192803.79746835446,0.0
60,70479,2023-10-12,31,F,56533.0,freelance,4.3,Moscow,online,car,460000,60,15.8,11137.0,675.0,2,65.3,0,0,2023Q4,26-35,1,0,0.5938128466620889,0.6189856295849391,-0.7421450064469057,0.21851356279803022,-0.8879029079916885,-0.4523165236203709,0.11530791106260872,MEDIUM,0.45,38863.86840612592,208220.0
61,90475,2024-10-21,28,F,92490.0,employed,12.0,Moscow,branch,consumer,250000,48,17.2,7240.0,761.0,2,37.9,4,0,2024Q4,26-35,0,0,1.7381210070921376,-1.2926458258693658,0.4120277267873281,-0.614066611571776,-0.24344125392750446,-0.6983547985731744,0.007676620787747213,LOW,0.7,7804.138423118087,97520.0
62,20457,2023-10-08,48,F,77586.0,self_employed,25.9,Siberia,online,consumer,280000,36,19.1,10278.0,658.0,1,45.9,9,0,2023Q4,46-55,0,0,0.3676123963445212,-0.7345052549338023,-0.06637120571880481,-0.49512658666180365,0.6311852765881757,0.9419003677788493,0.04920563760738655,LOW,0.7,8740.635033892258,90008.0
63,67557,2023-06-13,35,M,18076.0,unemployed,0.2,SPb,online,consumer,60000,24,23.5,3157.0,485.0,2,69.1,198,1,2023Q2,26-35,1,1,-1.934309833357786,0.8841024007793316,-1.9765644741997475,-1.3673534360016006,2.656636189361327,-0.1242654903499661,0.8018149011117512,HIGH,0.7,21945.147679324895,0.0
64,78189,2023-08-12,41,M,87811.0,self_employed,22.7,Siberia,branch,car,560000,60,15.8,13559.0,652.0,0,75.7,26,0,2023Q3,36-45,1,0,0.28777694329126197,1.344568371801172,0.2618379384623015,0.6149803124979379,-0.8879029079916885,0.36781105955564103,0.2392680863289372,MEDIUM,0.45,47312.5354509359,253540.0
65,79953,2023-05-26,30,M,111152.0,self_employed,9.7,South,online,consumer,490000,12,20.0,45391.0,615.0,1,55.7,8,0,2023Q2,26-35,0,0,-0.20454168387050312,-0.050783055537736675,1.0110535506218323,0.33745358770800254,1.0454820542008652,-0.534329281937972,0.1460710118133124,MEDIUM,0.7,64397.6176971072,54692.0
66,53995,2023-01-30,30,F,110002.0,self_employed,12.0,Moscow,online,car,930000,36,15.1,32284.0,669.0,1,81.3,1,0,2023Q1,26-35,1,0,0.5139773936088298,1.7352667714560661,0.9741400527432728,2.081907286387596,-1.2101337350237813,-0.534329281937972,0.2589429324243023,MEDIUM,0.45,78572.60351673284,232224.0
67,41757,2023-02-14,32,F,99165.0,employed,8.8,SPb,partner,car,570000,60,15.4,13680.0,608.0,0,59.4,7,0,2023Q1,26-35,0,0,-0.2976830457659722,0.20735695851996114,0.6262865079520111,0.6546269874679287,-1.0720348091528842,-0.3703037653027697,0.14910565591041727,MEDIUM,0.45,48157.4021554169,250800.0
68,10692,2024-04-15,49,M,52169.0,self_employed,30.0,Moscow,online,consumer,240000,36,17.2,8581.0,795.0,0,36.0,4,0,2024Q2,46-55,0,0,2.190521907727273,-1.425204211466562,-0.8822237062225876,-0.6537132865417667,-0.24344125392750446,1.0239131260964505,0.00481481283400967,LOW,0.7,7491.972886193364,68916.0
69,46758,2023-02-03,19,F,22690.0,unemployed,0.1,Moscow,branch,car,350000,60,17.9,8869.0,510.0,2,74.1,163,1,2023Q1,18-25,1,1,-1.6016621123025392,1.2329402576140587,-1.8284611009722047,-0.21759986187186825,0.07878957310458755,-1.4364696234315852,0.7554160521821304,HIGH,0.45,82294.30379746835,0.0
70,73409,2024-10-14,39,F,73559.0,employed,17.5,Ural,online,consumer,180000,48,16.5,5147.0,723.0,0,22.8,0,0,2024Q4,36-45,0,0,1.2324964710881625,-2.3461361535102414,-0.19563264568137842,-0.8915933363617113,-0.5656720809595964,0.20378554292043866,0.0044213042850805625,LOW,0.7,5618.979664645023,67056.0
71,72211,2024-03-02,32,M,64375.0,freelance,9.3,Moscow,branch,consumer,210000,12,20.0,19453.0,617.0,0,46.8,42,0,2024Q1,26-35,0,0,-0.17792986618608336,-0.6717144407035515,-0.4904270496089364,-0.772653311451739,1.0454820542008652,-0.3703037653027697,0.08956611746568861,LOW,0.7,6555.476275419193,23436.0
72,66697,2023-08-09,39,M,91852.0,employed,19.5,SPb,branch,car,540000,60,14.3,12649.0,698.0,0,51.1,0,0,2023Q3,36-45,0,0,0.8998487500329159,-0.37171388382568576,0.39154876013817935,0.5356869625579563,-1.578397537346172,0.20378554292043866,0.03254542851097829,LOW,0.45,10836.60363895826,218940.0
73,38065,2024-06-17,64,F,51687.0,employed,42.7,South,partner,consumer,130000,36,17.5,4667.0,752.0,5,36.5,160,1,2024Q2,56+,0,0,1.6183678275122486,-1.3903204257830892,-0.8976952766377753,-1.0898267112116653,-0.10534232805660741,2.2541045008604685,0.00781505525684949,LOW,0.7,4058.1519800214055,0.0
74,93093,2024-11-22,49,M,115429.0,freelance,21.6,SPb,online,consumer,330000,12,18.4,30317.0,693.0,1,55.8,0,0,2024Q4,46-55,0,0,0.8333192058218666,-0.043806298401042526,1.1483396640362669,-0.2968932118118498,0.3089544495560821,1.0239131260964505,0.060379328311740796,LOW,0.7,10301.462718515875,33804.0
75,33606,2024-01-02,27,F,61009.0,freelance,2.5,South,online,consumer,160000,24,20.7,8198.0,566.0,0,52.7,151,1,2024Q1,26-35,0,1,-0.8565312171387867,-0.260085769638573,-0.5984712529647901,-0.9708866863016928,1.3677128812329573,-0.7803675568907756,0.21276596103451845,MEDIUM,0.7,21027.79353374929,0.0
76,12534,2024-07-03,49,M,67272.0,freelance,27.4,SPb,partner,consumer,220000,24,18.9,11079.0,701.0,4,49.6,0,0,2024Q3,46-55,0,0,0.9397664765595455,-0.47636524087610393,-0.3974371336487736,-0.7330066364817482,0.5391193260075766,1.0239131260964505,0.038822134481159454,LOW,0.7,6867.641812343917,45896.0
77,95663,2024-08-04,49,F,43640.0,unemployed,0.4,Moscow,online,consumer,170000,12,20.9,15821.0,548.0,2,62.4,114,1,2024Q3,46-55,0,1,-1.0960375762985641,0.41665967262079745,-1.1559934657062705,-0.9312400113317021,1.4597788318135547,1.0239131260964505,0.5153040373160133,HIGH,0.7,62177.918424753865,0.0
78,41397,2023-04-26,47,M,110587.0,employed,22.7,SPb,branch,consumer,230000,36,18.7,8396.0,641.0,2,50.2,34,0,2023Q2,46-55,0,0,0.14141194602695345,-0.43450469805593656,0.992917788620627,-0.6933599615117575,0.4470533754269791,0.8598876094612482,0.07058477601586063,LOW,0.7,7179.807349268641,72256.0
79,92387,2023-08-27,20,M,94319.0,self_employed,0.0,Moscow,partner,consumer,330000,6,18.5,58006.0,742.0,3,53.9,0,0,2023Q3,18-25,0,0,1.48530873909015,-0.17636468399823876,0.4707362377611416,-0.2968932118118498,0.3549874248463816,-1.3544568651139839,0.02979107480959794,LOW,0.7,10301.462718515875,18036.0
80,2016,2023-12-01,27,M,89251.0,employed,11.0,Ural,online,car,740000,36,14.8,25580.0,695.0,1,81.6,21,0,2023Q4,26-35,1,0,0.8599310235062863,1.7561970428661495,0.3080600575450197,1.3286204619577717,-1.3482326608946775,-0.7803675568907756,0.19171570572433047,MEDIUM,0.45,62520.13613159388,180880.0
